;sector;Performance;diff
MO;Consumer Defensive;;
AA;Basic Materials;1,2334117283998667;1,903750242757357
PPG;Basic Materials;;
BEN;Financial Services;;
MPLX;Energy;0,2865918881997196;0,5272626286145081
TIGR;Financial Services;;
SLCA;Energy;-0,015300428267533276;0,04808749206574204
MAR;Consumer Cyclical;1,1019528580400626;0,2773800125633592
GPS;Consumer Cyclical;;
CARS;Consumer Cyclical;;
HAL;Energy;1,4284683871813713;0,443068382703918
ETSY;Consumer Cyclical;;
DAL;Industrials;;
SSNC;Technology;1,0622895814908586;0,1887848802289691
CTSH;Technology;0,9540887485874856;0,05924216525637413
CLVS;Healthcare;;
GDDY;Technology;0,9713430831681437;-0,14316415359724813
PBF;Energy;;
NTRS;Financial Services;;
BMA;Financial Services;;
PNC;Financial Services;;
BWA;Consumer Cyclical;;
QRTEA;Consumer Cyclical;;
FTI;Energy;0,9797322984906702;-0,2230936429324023
ATR;Consumer Cyclical;-0,09461028474715161;-0,14850163191918944
MTDR;Energy;;
PAA;Energy;1,209595125909227;0,20527844156765954
BHP;Basic Materials;;
ANGI;Communication Services;;
BKR;Energy;;
GLW;Technology;;
DE;Industrials;;
LVS;Consumer Cyclical;;
SM;Energy;;
IP;Consumer Cyclical;;
GM;Consumer Cyclical;;
GT;Consumer Cyclical;;
ZION;Financial Services;;
CNDT;Technology;;
EB;Technology;1,066632358506457;-0,27063047794480305
MLCO;Consumer Cyclical;;
WMB;Energy;;
AMC;Communication Services;;
CGNX;Technology;;
NOV;Energy;;
AMRX;Healthcare;;
QCOM;Technology;0,1955877284816634;0,03417028058747111
CSX;Industrials;;
IBM;Technology;1,0017511392298435;0,19810741281686928
MRO;Energy;;
AXL;Consumer Cyclical;0,8026858738769697;-0,16942151772927788
BJ;Consumer Defensive;;
UAA;Consumer Cyclical;;
SQM;Basic Materials;;
MUR;Energy;1,153491440372753;1,4147273552601052
KHC;Consumer Defensive;0,1703837792571414;0,17207748814850887
PAM;Utilities;;
APA;Energy;1,9446070239517312;0,8543349369463076
ADP;Industrials;0,22915356788307212;0,36593702562405245
ZEN;Technology;;
AM;Energy;;
ENLC;Energy;;
UA;Consumer Cyclical;0,06104463765868339;0,012586520134921206
PSA;Real Estate;;
MCHP;Technology;1,0868786386488032;-0,012151911483805587
PCG;Utilities;;
WBA;Healthcare;;
VRSN;Technology;1,2758409061848122;0,11496790443978659
NRG;Utilities;0,07751630232793864;-0,02497111952965169
LUV;Industrials;0,8465920964043802;-0,08482803354164581
IVZ;Financial Services;-0,3881355759723226;0,07391824448790701
CNP;Utilities;;
PSTG;Technology;0,1557874752098623;0,07615317819234806
RES;Energy;1,4961241269998513;0,4005168569949302
QLYS;Technology;;
HOG;Consumer Cyclical;;
QSR;Consumer Cyclical;;
EXC;Utilities;;
EMR;Industrials;;
AFL;Financial Services;0,13186251414842876;0,34320274290086483
AXP;Financial Services;0,894380135200195;0,2718492430045868
JNPR;Technology;;
EQNR;Energy;;
OSTK;Consumer Cyclical;0,7903108604554493;-0,39832133107144063
FDS;Financial Services;;
TWTR;Communication Services;;
HCM;Healthcare;;
SKT;Real Estate;;
TSN;Consumer Defensive;0,1914847498703984;0,3840575072932084
HRB;Consumer Cyclical;;
URBN;Consumer Cyclical;-0,3613603814754254;-0,012705536236166822
ORLY;Consumer Cyclical;1,1061864378389943;0,3905665441496886
OLN;Basic Materials;1,4018055331822354;0,8910389420645476
MOMO;Communication Services;;
LEVI;Consumer Cyclical;0,055872605376405836;0,03681796877749846
PFE;Healthcare;;
GS;Financial Services;;
PAYX;Industrials;;
JWN;Consumer Cyclical;;
DISCA;Communication Services;0,170445428209161;-0,3014137273538609
AR;Energy;;
HGV;Consumer Cyclical;;
ED;Utilities;0,19306081118445806;0,25081572966228916
LOW;Consumer Cyclical;0,11298764186587765;0,3236322332019447
ORCL;Technology;0,012148570463518164;0,3829957614655258
ADM;Consumer Defensive;;
SFM;Consumer Defensive;0,14619332942895533;0,33442316200098243
SBH;Consumer Cyclical;-0,21586830923152664;0,21443888842610195
SU;Energy;1,552868773191593;0,5885430844281436
EPD;Energy;;
JNJ;Healthcare;;
STLD;Basic Materials;;
HBI;Consumer Cyclical;;
DAN;Consumer Cyclical;;
SYF;Financial Services;0,9296176624034697;0,21308136966801736
NLOK;Technology;;
YPF;Energy;;
SCCO;Basic Materials;;
CNX;Energy;;
SCHW;Financial Services;;
WAB;Industrials;;
TD;Financial Services;1,388128835912159;0,430359106116624
TGI;Industrials;;
ALLY;Financial Services;;
DBX;Technology;;
ADI;Technology;0,9333088574094295;0,042417400985930366
RY;Financial Services;;
CFG;Financial Services;1,0872954318413544;0,36732329406964215
BVN;Basic Materials;;
PYPL;Financial Services;;
PCAR;Industrials;;
FITB;Financial Services;;
NVTA;Healthcare;;
QD;Financial Services;;
DISCK;Communication Services;;
ET;Energy;;
HUN;Basic Materials;1,000395487055575;0,2875330828143244
IGT;Consumer Cyclical;;
BB;Technology;;
COF;Financial Services;1,0210739563485574;0,41501511192847657
TEVA;Healthcare;;
MGM;Consumer Cyclical;;
GES;Consumer Cyclical;-0,339885711006405;-0,14469531774284317
ECL;Basic Materials;;
PGR;Financial Services;0,1513988304326025;0,19237301852918284
HUBS;Technology;;
BOX;Technology;;
FOLD;Healthcare;;
MRVL;Technology;;
WRK;Consumer Cyclical;;
RLGY;Real Estate;;
BBAR;Financial Services;;
PBI;Industrials;;
LOMA;Basic Materials;;
CAG;Consumer Defensive;-0,09911748885307994;0,06093948142352211
SWK;Industrials;;
EBAY;Consumer Cyclical;;
IBKR;Financial Services;;
PBCT;Financial Services;;
SGMO;Healthcare;;
ON;Technology;1,381769592075902;0,4672922429407901
PBR;Energy;;
HUYA;Communication Services;;
BG;Consumer Defensive;;
SYY;Consumer Defensive;;
PM;Consumer Defensive;;
MET;Financial Services;;
MCD;Consumer Cyclical;;
HPE;Technology;;
BSBR;Financial Services;0,9795166767372563;-0,159860975354766
SFIX;Consumer Cyclical;;
LPL;Technology;1,0751664574511544;-0,11988584219240193
NFLX;Communication Services;;
SWN;Energy;;
CVE;Energy;;
MTG;Financial Services;;
ARI;Real Estate;0,0569461638120363;0,23440670626493967
TXN;Technology;;
HSIC;Healthcare;;
CAJ;Technology;-0,10014156905507499;0,1284836704559266
JBLU;Industrials;;
FCX;Basic Materials;1,0894945820143014;0,35754852271152343
SHAK;Consumer Cyclical;;
KT;Communication Services;;
HDB;Financial Services;;
PWR;Industrials;1,0932046826440045;0,26850857991332877
HMC;Consumer Cyclical;;
MDRX;Healthcare;;
SUPV;Financial Services;1,132367532773065;-0,028074478281400944
FB;Communication Services;;
BAC;Financial Services;;
AXTA;Basic Materials;-0,1371053683874083;0,09902065913873903
GRPN;Communication Services;0,891043316712964;-0,34102804735766185
GPRO;Technology;0,11123728141130802;0,01248577201339474
KNX;Industrials;0,13985755968295713;0,2816362715788885
RF;Financial Services;1,2922616104214353;0,28407944143461633
IPG;Communication Services;;
CDNS;Technology;1,3229515752740102;0,07917337380136281
NAVI;Financial Services;;
LX;Financial Services;;
BSMX;Financial Services;;
GIS;Consumer Defensive;;
LTHM;Basic Materials;;
DISH;Communication Services;1,0084635493064222;0,03385419722568933
CROX;Consumer Cyclical;0,36692136126547675;0,3926916347128106
HIG;Financial Services;;
FHN;Financial Services;1,1991891744960745;0,22052619837296006
BRFS;Consumer Defensive;;
HBAN;Financial Services;;
COTY;Consumer Defensive;;
IRM;Real Estate;;
BHC;Healthcare;;
ABEV;Consumer Defensive;;
AME;Industrials;;
EXEL;Healthcare;;
ISBC;Financial Services;1,0600620733162853;0,3908634658451126
CX;Basic Materials;;
ABT;Healthcare;;
NLY;Real Estate;-0,13818888779824606;0,00541586273868497
KEY;Financial Services;;
UGP;Energy;;
SID;Basic Materials;;
COLD;Real Estate;;
WIT;Technology;;
SPOT;Communication Services;0,8962414021880355;-0,42314726307393663
FAST;Industrials;;
FSK;Financial Services;1,266348515091477;0,3870657362171062
YUMC;Consumer Cyclical;;
OPK;Healthcare;-0,35827658502406895;-0,038548771468485496
NIO;Consumer Cyclical;;
XRX;Technology;;
TV;Communication Services;-0,01712241582411693;0,14622781502799814
KDP;Consumer Defensive;;
MAT;Consumer Cyclical;1,199782144871065;0,10724002304600344
ESI;Basic Materials;;
KMI;Energy;;
INFY;Technology;;
AGNC;Real Estate;;
CIG;Utilities;;
NYCB;Financial Services;;
VG;Communication Services;0,25760916331612166;0,5426874739943214
MFG;Financial Services;1,1561338540371355;0,014869873978500495
LKQ;Consumer Cyclical;;
AES;Utilities;;
MUX;Basic Materials;0,294303776576645;0,004219417772029967
ARCC;Financial Services;;
WY;Real Estate;;
NWSA;Communication Services;;
A;Healthcare;;
IAG;Basic Materials;;
ENIA;Utilities;0,7123759479056346;-0,1935299812610015
ODP;Consumer Cyclical;0,5634599522211359;-0,11071350257550287
AL;Industrials;-0,022725690514800247;-0,02827138665001682
QTWO;Technology;0,7264657569141353;-0,5458515461525656
KIM;Real Estate;;
GNW;Financial Services;;
H;Consumer Cyclical;;
NPTN;Technology;;
GGB;Basic Materials;;
FLEX;Technology;;
LTC;Real Estate;;
VEEV;Healthcare;;
JEF;Financial Services;1,3197753896801474;0,4424293656941647
BRX;Real Estate;;
CHS;Consumer Cyclical;;
SIRI;Communication Services;;
HL;Basic Materials;;
FWONK;Communication Services;;
NMR;Financial Services;;
BSX;Healthcare;;
CNC;Healthcare;;
K;Consumer Defensive;;
JBHT;Industrials;0,2486411839073945;0,3710282711770945
SBS;Utilities;;
SPWR;Technology;-0,18597750467888263;-0,6653251324478108
HIMX;Technology;;
INCY;Healthcare;;
BDX;Healthcare;;
NKE;Consumer Cyclical;1,1572528130465476;0,03354793754784576
HPQ;Technology;1,23419725240482;0,4160289505009531
GE;Industrials;;
ZNGA;Communication Services;;
PH;Industrials;;
BTG;Basic Materials;-0,32525293665934457;-0,27051677048783257
CYH;Healthcare;;
SKX;Consumer Cyclical;;
SBUX;Consumer Cyclical;;
HOLX;Healthcare;;
HCA;Healthcare;0,333289515772939;0,43740464841016924
AUY;Basic Materials;;
MBT;Communication Services;;
IMGN;Healthcare;;
MAS;Industrials;0,20592516839769792;0,12979686039474878
D;Utilities;;
HRL;Consumer Defensive;-0,0377619489825578;0,10525819853298014
GFI;Basic Materials;;
ATUS;Communication Services;;
RUN;Technology;;
AMH;Real Estate;1,1174268878401326;0,27650898856051986
BBY;Consumer Cyclical;;
IBN;Financial Services;;
REGI;Energy;;
INFN;Technology;;
VICI;Real Estate;;
MORN;Financial Services;;
APPS;Technology;0,81392616637471;-0,41572208967464275
ROK;Industrials;1,0860454003335909;0,19957419276374666
KR;Consumer Defensive;0,19335199596003927;0,4265816703715878
CTXS;Technology;-0,17588219321184528;-0,1908746367360713
O;Real Estate;;
SNAP;Communication Services;;
WU;Financial Services;-0,13297575380051616;-0,141532551023549
DLR;Real Estate;;
JKHY;Technology;;
CZR;Consumer Cyclical;1,0450144836665913;-0,09254370329837734
FE;Utilities;0,07728184660612787;0,37944314453713734
SYK;Healthcare;;
CERN;Healthcare;0,2240884068648172;0,1612992427444776
JKS;Technology;;
MTCH;Communication Services;;
GNTX;Consumer Cyclical;;
ARMK;Consumer Cyclical;0,033140686796160286;-0,026620621748000468
S;Unknown;;
KKR;Financial Services;;
MPW;Real Estate;;
EIX;Utilities;;
INVH;Real Estate;1,1497683129027458;0,4217589674581321
NYT;Communication Services;;
T;Communication Services;;
INTC;Technology;;
SMAR;Technology;1,0103393334618571;-0,20623102971688048
GILD;Healthcare;;
BMRN;Healthcare;;
SBSW;Basic Materials;;
VIPS;Consumer Cyclical;;
TJX;Consumer Cyclical;0,9545301373074665;0,02321766104471432
KO;Consumer Defensive;;
WDC;Technology;;
CVS;Healthcare;;
AEP;Utilities;;
CWEN;Utilities;1,057918553165631;-0,021787063365262278
LSCC;Technology;1,1192832472008967;0,2390255556670964
PEP;Consumer Defensive;;
NUVA;Healthcare;1,0309151293184375;0,015106281499060096
ABBV;Healthcare;;
KMB;Consumer Defensive;-0,09165541196851924;0,1215040535420747
PLAN;Technology;;
LLY;Healthcare;;
EA;Communication Services;;
TM;Consumer Cyclical;;
TW;Financial Services;1,0633444558167047;0,39599271497977523
PAAS;Basic Materials;;
AKAM;Technology;-0,060792340552226584;0,03255091812972517
WING;Consumer Cyclical;-0,14856104810491144;-0,08392108378199127
ALL;Financial Services;;
ICE;Financial Services;;
BAX;Healthcare;;
BILI;Communication Services;-0,2683363869925526;-0,7302429769640771
KEYS;Technology;;
PBH;Healthcare;;
SO;Utilities;0,1617717609300224;0,1749666830282599
LEN;Consumer Cyclical;;
SPLK;Technology;;
PG;Consumer Defensive;0,13905412501892464;0,2815802831138556
JD;Consumer Cyclical;;
UCTT;Technology;;
PLD;Real Estate;;
FTNT;Technology;;
BIP;Utilities;;
DHI;Consumer Cyclical;0,28811467624870435;0,14063971629435648
TER;Technology;0,09329497346279467;0,04254018300908833
ATVI;Communication Services;;
TSM;Technology;;
AZO;Consumer Cyclical;;
TTWO;Communication Services;;
MU;Technology;0,8808498356584075;-0,0017987410392932568
ROST;Consumer Cyclical;;
SQ;Technology;;
TROW;Financial Services;;
BLL;Consumer Cyclical;;
NDAQ;Financial Services;;
EL;Consumer Defensive;;
MMC;Financial Services;;
STNE;Technology;;
TPX;Consumer Cyclical;;
BAH;Industrials;0,06860909777663944;-0,09448568222804608
ITW;Industrials;1,1912627735566272;0,19158652257640205
CBOE;Financial Services;-0,022479146187378257;0,24044117776698193
MDT;Healthcare;-0,2648458882737533;-0,07468699361649685
BX;Financial Services;;
SWKS;Technology;;
PDD;Consumer Cyclical;;
NEM;Basic Materials;;
AMAT;Technology;;
SRE;Utilities;;
REAL;Consumer Cyclical;0,8944669069082501;-0,661048014302668
ADSK;Technology;0,9922118311739541;-0,20048804457073877
SPCE;Industrials;-0,2567093550001024;-0,7529171362706059
VRSK;Industrials;1,03865538696242;0,02344266287498027
ZBH;Healthcare;;
HD;Consumer Cyclical;;
TAL;Consumer Defensive;-0,30657889027344554;-0,9560526327082985
EFX;Industrials;0,3788393590293918;0,27091153074207136
APD;Basic Materials;1,0246833975802672;0,01742532056506817
TMUS;Communication Services;;
XGN;Healthcare;;
V;Financial Services;;
AMD;Technology;;
NBIX;Healthcare;;
SNPS;Technology;;
INTU;Technology;;
TMO;Healthcare;;
BEP;Utilities;;
AMGN;Healthcare;;
GDS;Technology;;
CCI;Real Estate;;
NTCO;Consumer Defensive;;
BABA;Consumer Cyclical;;
CME;Financial Services;;
DVA;Healthcare;;
FREQ;Healthcare;1,10043892165313;-0,8755486643782423
CI;Healthcare;;
FISV;Technology;;
OKTA;Technology;0,9166664932713364;-0,28689396020137903
DG;Consumer Defensive;;
AVLR;Technology;;
PTON;Consumer Cyclical;;
CTVA;Basic Materials;;
NVCR;;0,8478415897726594;-0,6027202963904619
FIS;Technology;;
DOCU;Technology;;
CHWY;Consumer Cyclical;;
FVRR;Communication Services;1,0465641589042467;-0,6667897385817307
GO;Consumer Defensive;;
ZTS;Healthcare;;
MSFT;Technology;0,37369350157207126;0,3211392458593316
EDU;Consumer Defensive;-0,4440305771311698;-0,9071610124997829
UBER;Technology;;
AMT;Real Estate;0,25128475923993343;0,11465492069355665
NTES;Communication Services;;
LDOS;Technology;;
ZM;Communication Services;-0,09397487959127777;-0,6148669639729398
COST;Consumer Defensive;1,3305263826178755;0,33945614912582756
LULU;Consumer Cyclical;;
LMT;Industrials;;
NOC;Industrials;0,26304952417763133;0,36146362325099013
GOOGL;Communication Services;;
MA;Financial Services;;
DDOG;Technology;0,27123805454799105;0,19571431477864584
ANSS;Technology;;
CTAS;Industrials;;
ROKU;Communication Services;;
IGMS;Healthcare;-1,007211776341336;-0,8009332879890481
VRTX;Healthcare;-0,1332548483054517;-0,04002691465726199
GOOG;Communication Services;1,1786748971098286;0,3686331348795851
BIO;Healthcare;;
TFX;Healthcare;0,6661493259233209;-0,16057021777057132
RMD;Healthcare;;
ADBE;Technology;;
CRWD;Technology;;
SHW;Basic Materials;;
AAPL;Technology;;
DPZ;Consumer Cyclical;;
BIIB;Healthcare;;
LRCX;Technology;0,16578886657613398;0,08417082627685177
BYND;Consumer Defensive;;
NVDA;Technology;2,1582700192520545;0,7060649206094991
CMG;Consumer Cyclical;;
REGN;Healthcare;0,23325522631514195;0,1554910754616849
RNG;Technology;0,8724645040286267;-0,5648340616562715
MELI;Consumer Cyclical;;
CHTR;Communication Services;;
EQIX;Real Estate;;
SHOP;Technology;;
TSLA;Consumer Cyclical;0,007087125622235759;0,1148776434881969
ALGN;Healthcare;;
SPG;Real Estate;;
FDX;Industrials;;
PXD;Energy;1,5313697384451623;0,6430165712585929
JMIA;Consumer Cyclical;;
MMM;Industrials;-0,0653745019037229;0,053775492014720164
STZ;Consumer Defensive;;
DD;Basic Materials;;
EXPE;Consumer Cyclical;1,0971286943352363;0,2776149480690401
XOM;Energy;;
IT;Technology;1,3026619409224904;0,7148555594556262
UAL;Industrials;;
RL;Consumer Cyclical;;
CVX;Energy;;
OVV;Energy;;
VLO;Energy;;
TRV;Financial Services;-0,004620553432845977;0,14021895121301164
CCL;Consumer Cyclical;;
DVN;Energy;;
ZBRA;Technology;;
HFC;Energy;;
YUM;Consumer Cyclical;1,0973846461870735;0,17959264595991103
LNG;Energy;1,2360779400652995;0,5890689930437824
TCOM;Consumer Cyclical;;
OMC;Communication Services;;
NKTR;Healthcare;;
AEO;Consumer Cyclical;;
M;Consumer Cyclical;;
HON;Industrials;;
BK;Financial Services;;
HTHT;Consumer Cyclical;0,9239583810170492;-0,23020831743876138
ANTM;Healthcare;;
TRGP;Energy;1,7232922127140413;0,9479585672260079
MOS;Basic Materials;0,14636671150079578;0,3989009846313239
TPR;Consumer Cyclical;;
GGAL;Financial Services;;
FOXA;Communication Services;;
PTEN;Energy;;
CF;Basic Materials;;
VST;Utilities;0,8626397349658723;0,05080685108274067
X;Basic Materials;;
HES;Energy;;
C;Financial Services;;
WFC;Financial Services;;
PEG;Utilities;;
APH;Technology;;
RRC;Energy;;
USB;Financial Services;;
TTM;Consumer Cyclical;;
VTR;Real Estate;;
TME;Communication Services;;
LYV;Communication Services;;
GME;Consumer Cyclical;2,373480502443906;0,6360559470136748
TFC;Financial Services;;
ELAN;Healthcare;;
AIG;Financial Services;;
HST;Real Estate;;
GEO;Real Estate;;
ERJ;Industrials;;
CLF;Basic Materials;-0,5573170489175622;0,03536584982908877
CL;Consumer Defensive;0,05929226447268001;0,09437158919271041
NBEV;Consumer Defensive;;
MS;Financial Services;1,1554810136892966;0,36541836964904734
F;Consumer Cyclical;;
LXRX;Healthcare;;
CMCSA;Communication Services;-0,31014866902537774;0,04034569069708332
VALE;Basic Materials;;
VZ;Communication Services;-0,12490897531055391;-0,031785984827562536
KAR;Consumer Cyclical;;
BBD;Financial Services;;
OKE;Energy;;
FVE;Healthcare;;
ITUB;Financial Services;0,9818149681631587;-0,017126469218611644
UNIT;Real Estate;;
NRZ;Real Estate;;
MGI;Financial Services;;
ARR;Real Estate;;
EQH;Financial Services;;
TAK;Healthcare;;
SMFG;Financial Services;;
SSSS;Financial Services;;
NYMT;Real Estate;-0,048888241267173324;0,0005058492599770178
PPL;Utilities;0,06879979683045638;0,12898942754599738
GNL;Real Estate;;
GOL;Industrials;;
STT;Financial Services;;
TWO;Real Estate;;
MFA;Real Estate;;
IVR;Real Estate;;
MRK;Healthcare;;
GPK;Consumer Cyclical;;
CIEN;Technology;;
MUFG;Financial Services;;
JPM;Financial Services;0,9817762195429551;0,11028470015189987
HWM;Industrials;0,954786793677692;0,22095462100238145
ARNC;Industrials;1,197653805160636;0,12228939341226308
VIV;Communication Services;0,019091048444703735;0,16659576442028595
SLM;Financial Services;;
WEN;Consumer Cyclical;;
UMC;Technology;1,2613817158682137;0,09270324473807942
KTOS;Industrials;-0,26277124311873845;-0,43338901899617294
CIM;Real Estate;;
NWL;Consumer Defensive;;
AG;Basic Materials;;
HMY;Basic Materials;;
DRE;Real Estate;;
PLUG;Industrials;;
KGC;Basic Materials;-0,13598910817613716;-0,1789062592576449
WELL;Real Estate;1,0650838752011464;0,4319693489115609
DUK;Utilities;;
HEI;Industrials;1,012059442322241;0,13390180340524108
MDLZ;Consumer Defensive;;
VGR;Consumer Defensive;;
AVB;Real Estate;;
STX;Technology;;
ALLT;Technology;;
ZTO;Industrials;;
MNST;Consumer Defensive;0,145804914126058;-0,029251635951576697
WM;Industrials;;
EGO;Basic Materials;;
RAD;Healthcare;;
CAH;Healthcare;;
CBRE;Real Estate;1,1322325987796897;0,537564484970196
CRM;Unknown;0,09000319882390335;-0,03162510189365914
AU;Basic Materials;-0,42204888589975037;-0,10521104610296683
FLT;Technology;;
WMT;Consumer Defensive;;
GOLD;Basic Materials;;
XEL;Utilities;;
CG;Financial Services;;
BAM;Financial Services;;
PHM;Consumer Cyclical;-0,10575828467482092;0,06526499330927375
HLT;Consumer Cyclical;;
BMY;Healthcare;-0,04116568522255326;0,016175342671673816
DHR;Healthcare;;
UNH;Healthcare;0,3359360113233366;0,3455739544737188
MSI;Technology;;
NET;Technology;1,1670060453833344;0,0608602103361979
RACE;Consumer Cyclical;;
ISRG;Healthcare;;
IDXX;Healthcare;;
TGT;Consumer Defensive;1,17311675593331;0,14758585113628578
VIACA;Communication Services;;
EW;Healthcare;;
MCO;Financial Services;1,1826019673373898;0,2914069370840066
SPGI;Financial Services;;
NEE;Utilities;0,06463352061769287;0,00018559683563400118
HUM;Healthcare;1,2406371801261127;-0,06783883445891907
ASML;Technology;;
